bout_number,bout_length_sec,bout_start_time,IC,FC,gait_cycles,steps,stride_duration,stride_duration_asymmetry,step_duration,step_duration_asymmetry,cadence,initial_double_support,initial_double_support_asymmetry,terminal_double_support,terminal_double_support_asymmetry,double_support,double_support_asymmetry,single_limb_support,single_limb_support_asymmetry,stance,stance_asymmetry,swing,swing_asymmetry,step_length,step_length_asymmetry,stride_length,stride_length_asymmetry,gait_speed
1,24.000,2019-08-06 10:26:20.500,1565087181400,1565087182180,22,31,1.320,0.060,0.640,0.040,93.750,0.160,0.020,0.140,0.020,0.300,0.000,0.480,0.060,0.780,0.060,0.540,0.000,0.550,0.010,1.090,0.220,0.830
1,24.000,2019-08-06 10:26:20.500,1565087187620,1565087188260,22,31,1.140,0.200,0.460,0.220,130.430,0.060,0.120,0.180,0.000,0.240,0.120,3.380,2.880,0.640,0.220,0.500,0.020,0.350,0.140,0.840,0.160,0.730
1,24.000,2019-08-06 10:26:20.500,1565087188080,1565087188940,22,31,1.340,0.080,0.680,0.020,88.240,0.180,0.000,0.180,0.040,0.360,0.040,0.500,0.020,0.860,0.060,0.480,0.020,0.490,0.020,1.000,0.050,0.740
1,24.000,2019-08-06 10:26:20.500,1565087188760,1565087189560,22,31,1.260,0.040,0.660,0.060,90.910,0.180,0.040,0.140,0.020,0.320,0.020,0.480,0.020,0.800,0.040,0.460,0.000,0.510,0.030,1.050,0.020,0.830
1,24.000,2019-08-06 10:26:20.500,1565087189420,1565087190180,22,31,1.220,0.040,0.600,0.020,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.000,0.760,0.020,0.460,0.020,0.540,0.050,1.030,0.020,0.850
1,24.000,2019-08-06 10:26:20.500,1565087190020,1565087190800,22,31,1.260,0.000,0.620,0.020,96.770,0.160,0.000,0.160,0.020,0.320,0.020,0.460,0.020,0.780,0.000,0.480,0.000,0.490,0.070,1.060,0.060,0.840
1,24.000,2019-08-06 10:26:20.500,1565087190640,1565087191420,22,31,1.260,0.000,0.640,0.020,93.750,0.160,0.020,0.140,0.000,0.300,0.020,0.480,0.000,0.780,0.020,0.480,0.020,0.560,0.010,1.110,0.060,0.880
1,24.000,2019-08-06 10:26:20.500,1565087191280,1565087192040,22,31,1.260,0.040,0.620,0.020,96.770,0.140,0.000,0.140,0.000,0.280,0.000,0.480,0.020,0.760,0.020,0.500,0.060,0.550,0.070,1.170,0.030,0.930
1,24.000,2019-08-06 10:26:20.500,1565087191900,1565087192680,22,31,1.220,0.020,0.640,0.060,93.750,0.140,0.000,0.140,0.020,0.280,0.020,0.500,0.060,0.780,0.040,0.440,0.020,0.620,0.100,1.140,0.030,0.940
1,24.000,2019-08-06 10:26:20.500,1565087192540,1565087193280,22,31,1.200,0.000,0.580,0.040,103.450,0.140,0.020,0.160,0.020,0.300,0.000,0.440,0.020,0.740,0.020,0.460,0.020,0.520,0.080,1.120,0.070,0.930
1,24.000,2019-08-06 10:26:20.500,1565087193120,1565087193880,22,31,1.200,0.020,0.620,0.040,96.770,0.160,0.020,0.140,0.000,0.300,0.020,0.460,0.020,0.760,0.040,0.440,0.020,0.600,0.010,1.190,0.000,0.990
1,24.000,2019-08-06 10:26:20.500,1565087193740,1565087194460,22,31,1.180,0.080,0.580,0.020,103.450,0.140,0.000,0.140,0.020,0.280,0.020,0.440,0.020,0.720,0.040,0.460,0.040,0.590,0.010,1.190,0.000,1.010
1,24.000,2019-08-06 10:26:20.500,1565087194320,1565087195080,22,31,1.260,0.360,0.600,0.060,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.040,0.760,0.060,0.500,0.300,0.600,0.010,1.190,0.150,0.940
1,24.000,2019-08-06 10:26:20.500,1565087194920,1565087195740,22,31,1.620,0.040,0.660,0.300,90.910,0.160,0.000,0.160,0.020,0.320,0.020,0.500,0.300,0.820,0.320,0.800,0.360,0.590,0.140,1.040,0.250,0.640
1,24.000,2019-08-06 10:26:20.500,1565087195580,1565087196720,22,31,1.580,0.360,0.960,0.340,62.500,0.160,0.020,0.180,0.040,0.340,0.020,0.800,0.360,1.140,0.380,0.440,0.020,0.450,0.120,0.790,0.000,0.500
1,24.000,2019-08-06 10:26:20.500,1565087196540,1565087197300,22,31,1.220,0.020,0.620,0.020,96.770,0.180,0.040,0.140,0.020,0.320,0.020,0.440,0.020,0.760,0.000,0.460,0.020,0.330,0.120,0.790,0.180,0.640
1,24.000,2019-08-06 10:26:20.500,1565087197160,1565087197920,22,31,1.240,0.000,0.600,0.040,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.020,0.760,0.040,0.480,0.040,0.450,0.060,0.960,0.070,0.780
1,24.000,2019-08-06 10:26:20.500,1565087197760,1565087198560,22,31,1.240,0.000,0.640,0.040,93.750,0.160,0.000,0.160,0.000,0.320,0.000,0.480,0.040,0.800,0.040,0.440,0.040,0.510,0.010,1.040,0.090,0.840
1,24.000,2019-08-06 10:26:20.500,1565087198400,1565087199160,22,31,1.240,0.000,0.600,0.040,100.000,0.160,0.000,0.160,0.020,0.320,0.020,0.440,0.040,0.760,0.020,0.480,0.020,0.520,0.080,1.130,0.090,0.910
1,24.000,2019-08-06 10:26:20.500,1565087199000,1565087199780,22,31,1.240,0.040,0.640,0.040,93.750,0.160,0.020,0.140,0.000,0.300,0.020,0.480,0.020,0.780,0.040,0.460,0.000,0.600,0.010,1.220,0.010,0.980
1,24.000,2019-08-06 10:26:20.500,1565087199640,1565087200380,22,31,1.200,0.000,0.600,0.000,100.000,0.140,0.000,0.140,0.000,0.280,0.000,0.460,0.000,0.740,0.000,0.460,0.000,0.620,0.020,1.210,0.030,1.010
1,24.000,2019-08-06 10:26:20.500,1565087200240,1565087200980,22,31,1.200,0.040,0.600,0.000,100.000,0.140,0.000,0.140,0.000,0.280,0.000,0.460,0.000,0.740,0.000,0.460,0.040,0.600,0.010,1.180,0.020,0.980
2,30.000,2019-08-06 10:26:53.500,1565087214540,1565087215380,39,44,1.320,0.060,0.680,0.040,88.240,0.160,0.000,0.160,0.020,0.320,0.020,0.520,0.040,0.840,0.060,0.480,0.000,0.550,0.010,1.120,0.060,0.850
2,30.000,2019-08-06 10:26:53.500,1565087215220,1565087216000,39,44,1.260,0.040,0.640,0.020,93.750,0.160,0.020,0.140,0.000,0.300,0.020,0.480,0.000,0.780,0.020,0.480,0.020,0.570,0.050,1.180,0.040,0.940
2,30.000,2019-08-06 10:26:53.500,1565087215860,1565087216620,39,44,1.220,0.020,0.620,0.020,96.770,0.140,0.000,0.140,0.000,0.280,0.000,0.480,0.020,0.760,0.020,0.460,0.000,0.610,0.010,1.220,0.040,1.000
2,30.000,2019-08-06 10:26:53.500,1565087216480,1565087217220,39,44,1.200,0.020,0.600,0.000,100.000,0.140,0.000,0.140,0.000,0.280,0.000,0.460,0.000,0.740,0.000,0.460,0.020,0.610,0.030,1.180,0.030,0.990
2,30.000,2019-08-06 10:26:53.500,1565087217080,1565087217820,39,44,1.220,0.000,0.600,0.020,100.000,0.140,0.000,0.140,0.000,0.280,0.000,0.460,0.020,0.740,0.020,0.480,0.020,0.580,0.000,1.160,0.000,0.950
2,30.000,2019-08-06 10:26:53.500,1565087217680,1565087218440,39,44,1.220,0.020,0.620,0.020,96.770,0.140,0.000,0.140,0.020,0.280,0.020,0.480,0.020,0.760,0.000,0.460,0.020,0.580,0.000,1.160,0.050,0.950
2,30.000,2019-08-06 10:26:53.500,1565087218300,1565087219060,39,44,1.200,0.040,0.600,0.000,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.020,0.760,0.000,0.440,0.040,0.580,0.050,1.110,0.070,0.920
2,30.000,2019-08-06 10:26:53.500,1565087218900,1565087219660,39,44,1.240,0.040,0.600,0.040,100.000,0.160,0.000,0.160,0.020,0.320,0.020,0.440,0.040,0.760,0.020,0.480,0.060,0.530,0.030,1.040,0.020,0.830
2,30.000,2019-08-06 10:26:53.500,1565087219500,1565087220280,39,44,1.200,0.020,0.640,0.080,93.750,0.160,0.020,0.140,0.060,0.300,0.040,0.480,0.060,0.780,0.020,0.420,0.040,0.500,0.010,1.010,0.170,0.840
2,30.000,2019-08-06 10:26:53.500,1565087220140,1565087220900,39,44,1.220,0.080,0.560,0.100,107.140,0.140,0.060,0.200,0.060,0.340,0.000,0.420,0.040,0.760,0.040,0.460,0.040,0.510,0.170,0.840,0.070,0.690
2,30.000,2019-08-06 10:26:53.500,1565087220700,1565087221500,39,44,1.300,0.040,0.660,0.020,90.910,0.200,0.060,0.140,0.040,0.340,0.020,0.460,0.040,0.800,0.020,0.500,0.020,0.340,0.100,0.780,0.210,0.600
2,30.000,2019-08-06 10:26:53.500,1565087221360,1565087222180,39,44,1.340,0.020,0.640,0.060,93.750,0.140,0.040,0.180,0.040,0.320,0.000,0.500,0.020,0.820,0.020,0.520,0.040,0.440,0.110,0.980,0.170,0.730
2,30.000,2019-08-06 10:26:53.500,1565087222000,1565087222840,39,44,1.320,0.100,0.700,0.080,85.710,0.180,0.040,0.140,0.000,0.320,0.040,0.520,0.040,0.840,0.080,0.480,0.020,0.550,0.070,1.160,0.010,0.880
2,30.000,2019-08-06 10:26:53.500,1565087222700,1565087223460,39,44,1.220,0.000,0.620,0.020,96.770,0.140,0.000,0.140,0.020,0.280,0.020,0.480,0.020,0.760,0.000,0.460,0.000,0.610,0.070,1.150,0.010,0.940
2,30.000,2019-08-06 10:26:53.500,1565087223320,1565087224080,39,44,1.220,0.000,0.600,0.020,100.000,0.140,0.020,0.160,0.020,0.300,0.000,0.460,0.000,0.760,0.000,0.460,0.000,0.540,0.060,1.140,0.060,0.930
2,30.000,2019-08-06 10:26:53.500,1565087223920,1565087224680,39,44,1.220,0.020,0.620,0.020,96.770,0.160,0.020,0.140,0.000,0.300,0.020,0.460,0.000,0.760,0.020,0.460,0.000,0.600,0.000,1.200,0.050,0.990
2,30.000,2019-08-06 10:26:53.500,1565087224540,1565087225280,39,44,1.200,0.000,0.600,0.000,100.000,0.140,0.000,0.140,0.000,0.280,0.000,0.460,0.000,0.740,0.000,0.460,0.000,0.600,0.050,1.160,0.040,0.960
2,30.000,2019-08-06 10:26:53.500,1565087225140,1565087225880,39,44,1.200,0.040,0.600,0.000,100.000,0.140,0.000,0.140,0.020,0.280,0.020,0.460,0.000,0.740,0.020,0.460,0.020,0.550,0.010,1.110,0.100,0.930
2,30.000,2019-08-06 10:26:53.500,1565087225740,1565087226500,39,44,1.240,0.020,0.600,0.040,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.020,0.760,0.040,0.480,0.020,0.560,0.110,1.010,0.070,0.820
2,30.000,2019-08-06 10:26:53.500,1565087226340,1565087227140,39,44,1.260,0.000,0.640,0.020,93.750,0.160,0.000,0.160,0.000,0.320,0.000,0.480,0.020,0.800,0.020,0.460,0.020,0.450,0.040,0.950,0.100,0.750
2,30.000,2019-08-06 10:26:53.500,1565087226980,1565087227760,39,44,1.260,0.040,0.620,0.020,96.770,0.160,0.000,0.160,0.000,0.320,0.000,0.460,0.020,0.780,0.020,0.480,0.020,0.490,0.060,1.040,0.060,0.830
2,30.000,2019-08-06 10:26:53.500,1565087227600,1565087228400,39,44,1.300,0.000,0.640,0.020,93.750,0.160,0.000,0.160,0.020,0.320,0.020,0.480,0.020,0.800,0.000,0.500,0.000,0.550,0.000,1.100,0.060,0.850
2,30.000,2019-08-06 10:26:53.500,1565087228240,1565087229040,39,44,1.300,0.000,0.660,0.020,90.910,0.160,0.020,0.140,0.040,0.300,0.020,0.500,0.000,0.800,0.020,0.500,0.020,0.550,0.060,1.040,0.070,0.800
2,30.000,2019-08-06 10:26:53.500,1565087228900,1565087229720,39,44,1.300,0.020,0.640,0.020,93.750,0.140,0.040,0.180,0.040,0.320,0.000,0.500,0.020,0.820,0.020,0.480,0.000,0.490,0.010,0.970,0.080,0.750
2,30.000,2019-08-06 10:26:53.500,1565087229540,1565087230340,39,44,1.280,0.060,0.660,0.040,90.910,0.180,0.040,0.140,0.000,0.320,0.040,0.480,0.000,0.800,0.040,0.480,0.020,0.480,0.090,1.050,0.080,0.820
2,30.000,2019-08-06 10:26:53.500,1565087230200,1565087230960,39,44,1.220,0.020,0.620,0.020,96.770,0.140,0.000,0.140,0.000,0.280,0.000,0.480,0.020,0.760,0.020,0.460,0.000,0.570,0.010,1.130,0.040,0.920
2,30.000,2019-08-06 10:26:53.500,1565087230820,1565087231560,39,44,1.200,0.040,0.600,0.000,100.000,0.140,0.000,0.140,0.020,0.280,0.020,0.460,0.000,0.740,0.020,0.460,0.020,0.560,0.030,1.090,0.060,0.900
2,30.000,2019-08-06 10:26:53.500,1565087231420,1565087232180,39,44,1.240,0.000,0.600,0.040,100.000,0.140,0.020,0.160,0.000,0.300,0.020,0.460,0.020,0.760,0.040,0.480,0.040,0.530,0.030,1.030,0.000,0.830
2,30.000,2019-08-06 10:26:53.500,1565087232020,1565087232820,39,44,1.240,0.000,0.640,0.040,93.750,0.160,0.000,0.160,0.000,0.320,0.000,0.480,0.040,0.800,0.040,0.440,0.040,0.500,0.030,1.030,0.070,0.830
2,30.000,2019-08-06 10:26:53.500,1565087232660,1565087233420,39,44,1.240,0.000,0.600,0.040,100.000,0.160,0.000,0.160,0.020,0.320,0.020,0.440,0.040,0.760,0.020,0.480,0.020,0.530,0.040,1.100,0.040,0.880
2,30.000,2019-08-06 10:26:53.500,1565087233260,1565087234040,39,44,1.240,0.020,0.640,0.040,93.750,0.160,0.020,0.140,0.020,0.300,0.000,0.480,0.020,0.780,0.020,0.460,0.000,0.570,0.000,1.140,0.050,0.920
